,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
3,GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),16/28,3.1023614497619387e-06,0.0033917721149086,0,0,6.229669601438985,79.01306111631375,USP44;PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25
4401,KEGG_2021_Human,Cytokine-cytokine receptor interaction,79/295,5.965685044511838e-05,0.0036987247275973,0,0,1.7183891887839255,16.71460250170001,IL21;CNTFR;CSF3;CXCL9;IL20;EPO;IL24;CXCL17;IL27;CXCL13;CXCL2;CX3CL1;GHR;LEPR;IL12B;CCR8;CCR7;AMH;CCR4;IL11;TNFRSF18;IL19;LIFR;TGFBR2;EDAR;IFNG;LTA;LTB;IL9R;CCL14;CCL13;CCL11;CXCR5;IFNL2;ACVR1C;IFNL1;THPO;CCL7;CXCR3;CXCR2;IL21R;IL36RN;CCL17;RELT;IFNL3;CCL16;CCL25;GDF10;NGFR;CCL24;IL33;CCL23;TSLP;CCL21;CCL20;GDF15;TNFRSF9;BMP8A;OSM;PPBP;INHBA;BMP6;BMP5;BMP3;CXCL10;BMP2;CXCL11;IL6;CXCL12;TNFSF4;LEP;ACKR3;IL17D;INHA;BMPR1B;CCL28;IL17C;IL17B;PF4
7,GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),30/77,8.471860894921969e-06,0.0046563465443714,0,0,2.987823744608048,34.894077538655345,CCL14;CCL13;CXCL9;CCL11;UMOD;CXCL13;CXCL2;TREM1;CX3CL1;CCL7;CXCR2;CCL17;CCL16;CD177;CCL25;CCL24;CCL23;EDN2;EDN3;CCL21;CCL20;GP2;PPBP;CXCL10;CXCL11;PECAM1;SAA1;S100A9;S100A8;PF4
8,GO_Biological_Process_2023,Regulation Of Cardiac Muscle Cell Membrane Repolarization (GO:0099623),13/22,1.629025093978902e-05,0.007958692598028,0,0,6.744293101273805,74.35545194650551,KCNH2;KCNE1;CAV3;KCNH6;KCNE4;CACNA2D1;KCNE5;LOC102723475;ANK2;CACNA1D;KCNA5;SCN5A;SCN4B
4402,KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,33/100,0.00015499710008547347,0.0080081835044161,0,0,2.3046922919648334,20.2170008196152,CCL14;CCL13;CXCL9;IL20;CCL11;IL24;CXCR5;CXCL13;CXCL2;CX3CL1;CCL7;CXCR3;CXCR2;CCR8;CCR7;CCR4;CCL17;CCL16;CCL25;CCL24;CCL23;CCL21;CCL20;IL19;PPBP;CXCL10;CXCL11;IL6;CXCL12;LTA;ACKR3;CCL28;PF4
9,GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),83/310,3.969434435647462e-05,0.0174536032135418,0,0,1.718735093577261,17.418180221233712,RET;TENM1;CXCL17;HTR2C;HTR2A;FGF1;FGF2;CX3CL1;SOX2;PYCARD;GHR;GRM4;FFAR4;CCR7;CD36;AMH;IL11;FGA;EDN3;EPHA8;FCRL3;NRG1;GPR37L1;NPNT;MMP8;MTURN;ADRB3;KIT;ADAM8;DDR2;S100A7;CCL14;CCL13;SEMA7A;CCL11;PELI2;GATA4;ADRB2;NOD2;RASGRP1;EGFR;INAVA;ART4;P2RY6;CALCR;THPO;CCL7;PDGFD;ERBB2;ALKAL2;IGFBP6;CCL17;ELANE;CCL16;DRD4;CCL25;CCL24;NTRK2;CCL23;CCL21;ANGPT1;CCL20;GDF15;CAV2;EGF;NTRK3;PLA2G2A;OSM;IGF1;MT3;MARCO;NELL1;BMP2;IL6;LEP;ACKR3;SPRY2;TEK;CD24;FGFR4;FGFR3;FERMT2;EZH2
10,GO_Biological_Process_2023,Regulation Of Ventricular Cardiac Muscle Cell Membrane Repolarization (GO:0060307),11/18,4.8643145215971045e-05,0.0194439917740567,0,0,7.333927558544689,72.83323208479547,KCNH2;KCNE1;CAV3;KCNH6;KCNE4;CACNA2D1;KCNE5;LOC102723475;ANK2;SCN5A;SCN4B
11,GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),53/179,5.925811749180879e-05,0.0217131618842902,0,0,1.9724204071219,19.198766626606947,CXCL17;HTR2C;HTR2A;FGF1;FGF2;CX3CL1;PYCARD;FFAR4;CCR7;CD36;AMH;FGA;NRG1;NPNT;MTURN;S100A7;DDR2;CCL14;CCL13;SEMA7A;CCL11;GATA4;NOD2;RASGRP1;EGFR;P2RY6;CALCR;THPO;CCL7;PDGFD;ALKAL2;CCL17;CCL16;CCL25;CCL24;NTRK2;CCL23;ANGPT1;CCL21;CCL20;NTRK3;PLA2G2A;IGF1;MT3;MARCO;NELL1;BMP2;ACKR3;SPRY2;TEK;FGFR4;FGFR3;FERMT2
12,GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),27/73,6.891318616961051e-05,0.022355247049491,0,0,2.7453177257525083,26.307454640439623,CCL14;CCL13;CXCL9;CCL11;CXCL13;CXCL2;TREM1;CX3CL1;CCL7;CXCR2;CCL17;CCL16;CCL25;CCL24;CCL23;ANXA1;EDN2;EDN3;CCL21;CCL20;PPBP;CXCL10;CXCL11;SAA1;S100A9;S100A8;PF4
15,GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),26/70,8.593276206719651e-05,0.022355247049491,0,0,2.763354133761425,25.87037053200485,CCL14;CCL13;CXCL9;CCL11;CXCL13;CXCL2;TREM1;CX3CL1;CCL7;CXCR2;CCL17;CCL16;CCL25;CCL24;CCL23;EDN2;EDN3;CCL21;CCL20;PPBP;CXCL10;CXCL11;SAA1;S100A9;S100A8;PF4
16,GO_Biological_Process_2023,Regulation Of Heart Rate By Cardiac Conduction (GO:0086091),18/41,8.643147597028589e-05,0.022355247049491,0,0,3.656177026576226,34.2077722885836,KCNH2;KCNE1;KCNH6;KCNE4;KCNE5;CACNA2D1;CAV1;LOC102723475;CACNA1D;KCNA5;ANK2;SCN5A;SCN3B;SCN4B;HCN2;KCNJ3;HCN1;SCN2B
