,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
10,prerank,Spermatogenesis,0.5826223404599083,1.795404395020597,0.01,0.01,0.01,26/110,12.15%,NEK2;CDKN3;CDK1;AURKA;BUB1;KIF2C;CCNB2;EZH2;NCAPH;CNIH2;TTK;GRM8;STRBP;DBF4;PHKG2;RFC4;CLGN;CHFR;RPL39L;GAD1;H1-6;PCSK1N;ACRV1;MAP7;PCSK4;CLPB
11,prerank,Xenobiotic Metabolism,-0.5210834602815704,-1.7921043636171503,0.01,0.01,0.01,31/186,6.05%,ATOH8;CAT;MAOA;F10;RBP4;PDK4;CD36;NDRG2;PROS1;ABCD2;CES1;CDO1;ALDH2;ADH5;CYP1A1;ADH1C;HSD11B1;RETSAT;SLC12A4;GABARAPL1;AOX1;AKR1C3;IGF1;ETS2;AKR1C2;ALDH3A1;PC;ETFDH;ABHD6;PINK1;IGFBP1
12,prerank,Mitotic Spindle,0.5529201306273209,1.7739225031418564,0.01,0.01,0.01,55/197,14.06%,NEK2;KIF4A;TPX2;CDK1;PLK1;AURKA;BUB1;KIF2C;CENPF;NDC80;CCNB2;DLGAP5;ANLN;KIF23;LMNB1;KIF11;CENPE;KIF22;TTK;TOP2A;RACGAP1;KIF15;BIRC5;ECT2;ESPL1;EZR;PIF1;BRCA2;KNTC1;SMC4;SAC3D1;FBXO5;RHOF;CEP250;ARL8A;CKAP5;SASS6;RHOT2;SHROOM2;SEPTIN9;INCENP;ARF6;TBCD;KPTN;CYTH2;ARFGEF1;STAU1;KIF20B;ARFIP2;CEP72;CTTN;CEP131;FARP1;PRC1;ARHGDIA
13,prerank,Interferon Alpha Response,0.5842663284330643,1.7323563782538722,0.01,0.01,0.01,49/97,20.38%,CXCL11;CXCL10;ISG15;IRF7;OASL;PSME2;ADAR;PARP12;RIPK2;TAP1;RSAD2;MOV10;PARP9;UBE2L6;LAMP3;OAS1;MX1;HELZ2;EPSTI1;CMPK2;IFI27;PSME1;USP18;HLA-C;IFI35;TRAFD1;ISG20;IRF1;PARP14;BST2;SP110;PSMA3;TRIM14;IFIT2;OGFR;SAMD9;IFIH1;TRIM26;IFIT3;PSMB8;IFITM1;SELL;PSMB9;IFI44;MVB12A;LY6E;PNPT1;IRF9;BATF2
14,prerank,Bile Acid Metabolism,-0.5325192751863257,-1.7160264735236614,0.01,0.01,0.01,31/106,13.74%,CAT;LIPE;ABCA9;ABCD2;ABCA8;ALDH1A1;ACSL1;ABCA6;ABCA5;RETSAT;NR3C2;RXRG;MLYCD;BMP6;HSD17B11;PECR;ABCA1;SLCO1A2;CYP46A1;BBOX1;CYP7A1;SLC23A2;ACSL5;HACL1;ABCG8;OPTN;PHYH;CYP39A1;NEDD4;SCP2;CYP7B1
15,prerank,Fatty Acid Metabolism,-0.516578920862391,-1.7028619806413605,0.01,0.01,0.01,44/152,11.77%,CA4;AOC3;MAOA;CD36;AQP7;GPD1;CIDEA;ALDH1A1;G0S2;HADH;ACSL1;CYP1A1;INMT;MGLL;ADH1C;RETSAT;GABARAPL1;ACADL;MLYCD;SUCLA2;PPARA;ALDH3A1;HSDL2;HSD17B11;ACSM3;ETFDH;ACAA2;ACADM;EHHADH;ACSL4;AUH;DLST;ACADS;SUCLG1;BCKDHB;ME1;PTPRG;ALAD;ACADVL;HIBCH;CA6;ACSL5;MDH1;ACOX1
16,prerank,Hypoxia,-0.47672980473871046,-1.5725300966749332,0.01,0.01,0.03,55/194,10.93%,CAV1;PYGM;SRPX;AKAP12;PCK1;PFKFB3;NR3C1;CDKN1C;CAVIN1;UGP2;EGFR;DUSP1;KLF6;ZFP36;GBE1;TIPARP;VLDLR;GPC3;STBD1;LALBA;FOS;MXI1;DCN;ACKR3;F3;IRS2;PRKCA;MAFF;TKTL1;ALDOC;JUN;IGFBP1;PGM1;HAS1;CCN1;ANGPTL4;CHST3;BNIP3L;PPARGC1A;GCK;PPP1R15A;IL6;KLF7;ALDOB;ATF3;SDC3;S100A4;CCN5;ERRFI1;NDST1;CITED2;PNRC1;RORA;PHKG1;ETS1
17,prerank,Glycolysis,0.5033000399347769,1.5706256019572973,0.01,0.01,0.06,66/195,14.60%,CDK1;AURKA;KIF20A;CENPA;HMMR;DEPDC1;POLR3K;ARTN;STMN1;BPNT1;CHPF;GALE;PSMC4;ALG1;FKBP4;TXN;SLC16A3;EFNA3;COL5A1;GMPPA;COPB2;CHST6;SPAG4;CHPF2;BIK;SAP30;SDC1;CASP6;HSPA5;PMM2;CLDN9;ENO2;P4HA1;CLN6;CHST1;SRD5A3;B3GAT3;PPIA;FUT8;IER3;GMPPB;SLC25A10;GNPDA1;CXCR4;B4GALT4;EGLN3;ERO1A;PGK1;VCAN;B3GALT6;TPBG;RARS1;P4HA2;MIOX;GOT2;COG2;KDELR3;ISG20;FAM162A;GPC4;GALK1;SDHC;CACNA1H;GOT1;CLDN3;TPI1
18,prerank,Allograft Rejection,0.4672809544137132,1.5508483551707004,0.01,0.01,0.08,73/196,26.48%,INHBA;CCL11;CD80;NME1;CXCL9;TPD52;MMP9;IRF7;CDKN2A;CCL7;TRAF2;MRPL3;PTPN6;BCL3;CAPG;TAPBP;IL11;IL18;RIPK2;CSK;TIMP1;TAP1;IL12B;STAT1;BRCA1;CXCR3;GPR65;LTB;ITGAL;RARS1;UBE2N;EIF5A;TGFB1;IL2RG;THY1;CCR5;IFNG;IL2RB;AKT1;IL12RB1;MAP4K1;HLA-DQA1;CD86;F2R;HLA-A;GZMB;CD7;ITGB2;CD2;LY86;SPI1;IKBKB;GZMA;GLMN;PSMB10;ELF4;CD3D;CRTAM;TNF;LCK;SIT1;TRAT1;CCL5;FASLG;WAS;CD74;HLA-DRA;FYB1;GALNT1;IGSF6;LCP2;ICAM1;CXCL13
19,prerank,Interferon Gamma Response,0.46364356436356147,1.4885890609376164,0.01,0.01,0.14,72/197,19.93%,CXCL11;CXCL10;ISG15;MTHFD2;CXCL9;IRF7;CCL7;FCGR1A;OASL;PSME2;CASP3;ADAR;PTPN6;VAMP8;TAPBP;ZBP1;PARP12;CFB;OAS2;RIPK2;TAP1;RSAD2;PNP;OAS3;UBE2L6;STAT1;SECTM1;MX1;HELZ2;GCH1;RNF213;MYD88;EPSTI1;CMPK2;IFI27;PTPN1;PSME1;IRF5;USP18;GPR18;IFI35;TRAFD1;ISG20;IRF1;PARP14;BST2;SP110;PSMA3;TRIM14;IFIT2;OGFR;IFIT1;PSMB2;IL2RB;IDO1;IFIH1;TRIM26;HLA-DQA1;IFIT3;CD86;MARCHF1;PSMB8;HLA-A;PSMB9;IFI44;HLA-B;NUP93;LY6E;MVP;PNPT1;TOR1B;IRF9
21,prerank,PI3K/AKT/mTOR  Signaling,0.47510308647352983,1.3887249305556615,0.01,0.03658268478213077,0.46,34/103,17.10%,CDK1;E2F1;ARF1;CFL1;TRIB3;PPP1CA;PAK4;TRAF2;CALR;PFN1;GRB2;SLC2A1;ARPC3;CDK2;CXCR4;MYD88;YWHAB;CLTC;NFKBIB;UBE2N;VAV3;GRK2;IL2RG;ACTR3;ACTR2;ARHGDIA;CSNK2B;RPS6KA1;PIK3R3;AKT1;GNGT1;CAMK4;AP2M1;HSP90B1
22,prerank,Estrogen Response Late,0.43511779793688654,1.3651344616874614,0.013888888888888888,0.0405458089668616,0.54,55/196,16.49%,CDC20;KIF20A;TOP2A;PLAC1;CDC6;STIL;COX6C;ASCL1;GINS2;PLK4;LLGL2;LSR;NMU;GALE;SLC7A5;HPRT1;SIAH2;TSPAN13;FKBP4;ANXA9;PTPN6;FGFR3;DNAJC1;RAB31;IDH2;KRT19;MICB;BATF;CD9;TJP3;RET;GAL;DNAJC12;SORD;CLIC3;AGR2;TPBG;PKP3;MDK;MAPK13;ST14;ISG20;FARP1;RNASEH2A;EMP2;NXT1;CCND1;OVOL2;CISH;PRLR;CACNA2D2;ARL3;TH;CA12;S100A9
