,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
31,prerank,Cholesterol Homeostasis,-0.36227080654495414,-1.1415569966645558,0.23529411764705882,0.3163027720423494,0.93,15/74,10.92%,LPL;PPARG;ACSS2;GNAI1;ANTXR2;ADH4;AVPR1A;ALDOC;ATF3;SCD;ERRFI1;PNRC1;GSTM2;SC5D;ANXA5
35,prerank,Wnt-beta Catenin Signaling,-0.3987140219939874,-1.1090702528623073,0.15151515151515152,0.32124500285551116,0.98,13/42,16.24%,GNAI1;NOTCH4;DKK4;PTCH1;MYC;TCF7;JAG2;JAG1;RBPJ;DLL1;AXIN2;CCND2;WNT5B
36,prerank,Apoptosis,-0.34233378032047657,-1.101667599414304,0.24242424242424243,0.324923573084288,0.98,25/158,9.44%,CAV1;GSN;IGFBP6;GPX3;TXNIP;ANXA1;EMP1;TGFBR3;BCL2L2;RETSAT;NEDD9;FEZ1;AVPR1A;CFLAR;DCN;JUN;IFNGR1;DPYD;EGR3;BMP2;BNIP3L;ADD1;IL6;SATB1;ATF3
38,prerank,TGF-beta Signaling,-0.36543266619132814,-1.059970262426268,0.3333333333333333,0.38810905046740213,0.99,12/54,12.88%,SPTBN1;CDKN1C;KLF10;BMP2;ID1;SKI;LTBP2;PPP1R15A;TJP1;BMPR1A;HIPK2;WWTR1
37,prerank,IL-2/STAT5 Signaling,-0.3060390800322905,-1.063306975230757,0.32432432432432434,0.40357890729107176,0.99,39/197,11.42%,ITIH5;SHE;PLPP1;EMP1;CDKN1C;ABCB1;AHNAK;SH3BGRL2;KLF6;PTH1R;GABARAPL1;ARL4A;PENK;SCN9A;PRNP;NRP1;MAFF;WLS;IFNGR1;DHRS3;MYO1C;PTCH1;SELP;PLAGL1;CAPN3;BMP2;SWAP70;LRRC8C;SOCS2;NT5E;DENND5A;TNFRSF8;ITGA6;FGL2;PHLDA1;RORA;IL3RA;MYC;PRKCH
39,prerank,Hedgehog Signaling,-0.39568263817497495,-1.0129912462639379,0.4146341463414634,0.4920616790405482,1.0,6/35,6.55%,VLDLR;ETS2;DPYSL2;NRP1;CNTFR;PTCH1
40,prerank,IL-6/JAK/STAT3 Signaling,0.3185281374185412,0.9677524900385914,0.5,0.6581072564452066,1.0,19/83,16.73%,CXCL11;CXCL10;CXCL9;CCL7;BAK1;IL9R;GRB2;CD9;STAT1;LTB;MYD88;PTPN1;TGFB1;IL2RG;IRF1;HMOX1;CSF3R;IL12RB1;TNFRSF12A
41,prerank,Oxidative Phosphorylation,0.2922624563975732,0.9588823832879043,0.5652173913043478,0.6587481462827723,1.0,59/199,26.82%,ATP6V0B;COX6C;ATP6AP1;TIMM17A;BAX;MRPS12;IDH2;ATP6V1G1;TCIRG1;RHOT2;MRPS30;ATP6V1F;TIMM10;HSD17B10;GOT2;TIMM13;COX6A1;MTX2;COX7A2;COX17;SDHC;NDUFS6;TIMM50;MRPL15;NDUFAB1;ATP5MF;SLC25A5;ATP6V1H;ECI1;AIFM1;NDUFS2;NDUFA9;HSPA9;NDUFS8;ATP6V0E1;COX8A;ATP6V1D;UQCRQ;NDUFA3;NDUFC2;NDUFA2;ATP6V1C1;COX6B1;CYCS;NDUFB4;VDAC1;FH;ATP5MC1;COX5A;ATP5F1C;CYC1;NDUFA7;ATP5F1E;POR;LDHA;PMPCA;TIMM8B;NDUFB2;ATP5PD
42,prerank,Pancreas Beta Cells,-0.35934263281746354,-0.9417843653160278,0.5957446808510638,0.6957656849147426,1.0,6/29,8.11%,FOXO1;PAK3;LMO2;STXBP1;DPP4;GCK
44,prerank,p53 Pathway,-0.2638204440539537,-0.9212661426090493,0.7142857142857143,0.6984331934546718,1.0,30/199,11.02%,TXNIP;ZBTB16;KLF4;PTPN14;RETSAT;CEBPA;CDH13;TP63;FBXW7;FOS;PDGFA;SESN1;JUN;TSC22D1;BLCAP;CCNG1;BMP2;EPHA2;TCN2;TSPYL2;PPP1R15A;RRAD;ATF3;ISCU;S100A4;INHBB;HBEGF;PROCR;PLK3;IRAG2
45,prerank,Reactive Oxygen Species Pathway,-0.3331654048170971,-0.9077769777659844,0.631578947368421,0.7075956596230726,1.0,4/47,4.82%,CAT;GPX3;PRNP;MSRA
43,prerank,Notch Signaling,-0.3429704759196454,-0.9224269304792262,0.6052631578947368,0.7214578682311407,1.0,6/32,8.46%,DTX1;MAML2;PRKCA;FZD5;FZD7;TCF7L2
47,prerank,Protein Secretion,0.3098928768845648,0.8978853559802336,0.7313432835820896,0.7762388427208372,1.0,24/96,18.15%,ARF1;TPD52;SCAMP3;COPB2;YKT6;COPE;TMED2;KRT18;AP2S1;PPT1;CLTC;VPS45;RER1;ARFGEF1;SEC24D;ICA1;COPB1;COG2;AP2M1;NAPA;ATP6V1H;ANP32E;SH3GL2;ERGIC3
46,prerank,KRAS Signaling Dn,0.29239312984881816,0.9072264744883041,0.7571428571428571,0.7877206364500114,1.0,48/183,22.94%,CCR8;CD80;HTR1D;GPR19;TLX1;RIBC2;BMPR1B;ENTPD7;CAPN9;EDN2;FGFR3;SLC29A3;BARD1;CACNG1;COL2A1;RSAD2;IL12B;NPHS1;MAGIX;PDCD1;TG;MX1;GP2;PTPRJ;CLPS;NGB;IFNG;CCDC106;SKIL;ITGB1BP2;LYPD3;PNMT;HSD11B2;TCL1A;CPB1;SNCB;CD207;TEX15;PDE6B;LFNG;CALML5;CLSTN3;GDNF;GAMT;SLC5A5;TNNI3;IDUA;UPK3B
49,prerank,Complement,0.26257622501050887,0.8269236048117341,0.9014084507042254,0.8750384733764235,1.0,23/195,9.15%,MMP13;RABIF;FN1;OLR1;PPP4C;PLAUR;IRF7;CASP3;PFN1;HSPA5;MMP14;CDK5R1;MMP12;CFB;GRB2;GATA3;TIMP1;ATOX1;SIRT6;TMPRSS6;SERPINC1;RASGRP1;SRC
48,prerank,Angiogenesis,0.3185530851577876,0.8317021757257463,0.6666666666666666,0.8981963681132655,1.0,9/33,14.44%,OLR1;SPP1;VAV2;POSTN;COL5A2;TIMP1;VCAN;COL3A1;PTK2
