gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000000005,247.03721301011836,-4.204251515667314,0.3545070649307961,-11.859429420646478,1.9228094338552103e-32,8.322257443762577e-31,TNMD
ENSG00000002726,64.66923205553574,2.229069388600429,0.2981825497517181,7.475519243015613,7.689960431381298e-14,5.869060840435324e-13,AOC1
ENSG00000003096,1395.7052409272412,-2.733400976962181,0.2815590995385953,-9.708089638877022,2.7850791050996125e-22,5.06941624780974e-21,KLHL13
ENSG00000003137,791.9897348898288,-1.806772399877934,0.2749591338159984,-6.5710579416031285,4.9959012456788986e-11,2.7944869628271247e-10,CYP26B1
ENSG00000003249,1847.4237799331963,1.578476668538145,0.1910996675057174,8.25996554123214,1.4571452736664768e-16,1.5049994421953604e-15,DBNDD1
ENSG00000003436,1911.4181987185689,-1.8078440690652104,0.1887447339164512,-9.578249053907172,9.870401943829858e-22,1.6933888422032178e-20,TFPI
ENSG00000004776,1351.6595580892497,-4.562129253031081,0.3361056532803972,-13.57349752527105,5.751092758545692e-42,5.458403216369706e-40,HSPB6
ENSG00000004799,16374.902242457223,-4.099905296594977,0.2885863378587768,-14.20685860257638,8.3069106230888e-46,1.0768592673589504e-43,PDK4
ENSG00000004838,519.1461241320582,2.433448734197065,0.263876012944317,9.22193990671888,2.917729682890677e-20,4.334190403735034e-19,ZMYND10
ENSG00000004846,114.37899810563886,-3.6636364998917386,0.3165400189854381,-11.574007329734435,5.581353202556466e-31,2.221588778574492e-29,ABCB5
ENSG00000004939,7.586875865813484,-2.4744611442042204,0.370548101487629,-6.67784056717622,2.4248862346684432e-11,1.403951017131021e-10,SLC4A1
ENSG00000004948,38.79075838908939,-1.999423064905044,0.2447592354310039,-8.168938186884752,3.1111550554205363e-16,3.1069143618333804e-15,CALCR
ENSG00000005001,687.0645287682769,1.6080315611711131,0.2283921677605277,7.040659830582091,1.9133159466910856e-12,1.245013988328002e-11,PRSS22
ENSG00000005102,760.1150528465569,-2.651557815284694,0.290290993015329,-9.134137396900485,6.593026948181589e-20,9.43001566996371e-19,MEOX1
ENSG00000005187,352.6819749437336,-1.8479413559217988,0.2314219166360266,-7.985161400370671,1.403385641060822e-15,1.3072195377213932e-14,ACSM3
ENSG00000005249,7639.939419969407,-2.497897239135216,0.211267839654421,-11.82336716852467,2.9559447995660647e-32,1.2670037588462609e-30,PRKAR2B
ENSG00000005981,21.486753777911783,-1.5425109790114462,0.2978007496308139,-5.179674600966284,2.222732834258823e-07,7.83929994298981e-07,ASB4
ENSG00000006118,4913.117720896715,2.3770504617961032,0.2105815300920066,11.288029205398638,1.5037050820861906e-29,5.2580213890053295e-28,TMEM132A
ENSG00000006128,42.91591088824172,-2.052496965239887,0.3691634459923564,-5.559859697707948,2.6999160611389232e-08,1.0723399988756075e-07,TAC1
ENSG00000006210,8398.288590698492,-2.6147079962828963,0.2320233846308936,-11.269157203453496,1.863450132282031e-29,6.4146615628749964e-28,CX3CL1
ENSG00000006377,20.13136291695934,1.5840029176805046,0.4026862024482063,3.933591238165752,8.368605230673412e-05,0.000204338262258,DLX6
ENSG00000007174,80.26009196254195,-2.015036743990677,0.2924689030821119,-6.889746987647938,5.589170524258157e-12,3.4639040737444154e-11,DNAH9
ENSG00000007216,478.6181175384171,-2.536299910571626,0.3789399703098139,-6.693144321772119,2.1842552393740862e-11,1.2723933140369648e-10,SLC13A2
ENSG00000007306,45.68799735929946,1.711488837189534,0.3685578506222536,4.643745437249394,3.4214909584420303e-06,1.030207593707194e-05,CEACAM7
ENSG00000007314,694.3738785914855,-4.287495563100354,0.2970849291243355,-14.431885103488227,3.2604631654460262e-47,4.7090656859634875e-45,SCN4A
ENSG00000007350,5.6779001153381845,-2.0027922239680143,0.2450180635427861,-8.174059475489562,2.981827092491406e-16,2.9902662257720427e-15,TKTL1
ENSG00000007372,39.99804948825199,3.101544674533685,0.4356656357088443,7.119094140825119,1.086386912129591e-12,7.275890168811459e-12,PAX6
ENSG00000007541,3436.645382284215,1.5234058276466171,0.1700322668330265,8.959510191925029,3.261238201085358e-19,4.34423083678413e-18,PIGQ
ENSG00000007968,487.22564073289794,2.4703240378439144,0.2170882829795742,11.379352233746978,5.299186866806116e-30,1.9370824069514793e-28,E2F2
ENSG00000008056,85.17381133205896,1.8003348482204475,0.2606356654074884,6.90747693875944,4.9334912372172994e-12,3.0783641612831586e-11,SYN1
